wl,S001,S002
353.415744,16541.571429,16541.571429
353.868714,17211.000000,17211.000000
354.321671,17643.571429,17643.571429
354.774615,18117.571429,18117.571429
355.227545,18516.285714,18516.285714
355.680461,19157.428571,19157.428571
356.133364,19628.857143,19628.857143
356.586254,20146.857143,20146.857143
357.039130,20428.714286,20428.714286
357.491993,20813.000000,20813.000000
357.944843,21155.000000,21155.000000
358.397679,21506.428571,21506.428571
358.850501,21695.714286,21695.714286
359.303310,22075.714286,22075.714286
359.756105,22180.428571,22180.428571
360.208887,22557.142857,22557.142857
360.661656,22795.142857,22795.142857
361.114411,22939.000000,22939.000000
361.567152,23028.428571,23028.428571
362.019880,22890.142857,22890.142857
362.472594,22556.142857,22556.142857
362.925295,22346.714286,22346.714286
363.377982,21860.857143,21860.857143
363.830656,21406.714286,21406.714286
364.283316,21187.000000,21187.000000
364.735962,20715.142857,20715.142857
365.188595,20226.714286,20226.714286
365.641214,20015.285714,20015.285714
366.093820,19880.142857,19880.142857
366.546412,19864.000000,19864.000000
366.998990,19597.857143,19597.857143
367.451555,19325.000000,19325.000000
367.904106,19234.428571,19234.428571
368.356643,19314.857143,19314.857143
368.809167,19246.428571,19246.428571
369.261677,19335.285714,19335.285714
369.714173,19311.714286,19311.714286
370.166656,19753.714286,19753.714286
370.619125,19826.000000,19826.000000
371.071580,20026.571429,20026.571429
371.524021,20338.428571,20338.428571
371.976449,20671.857143,20671.857143
372.428863,20983.428571,20983.428571
372.881263,21210.285714,21210.285714
373.333650,21233.000000,21233.000000
373.786023,21595.142857,21595.142857
374.238381,22150.571429,22150.571429
374.690727,22751.428571,22751.428571
375.143058,23295.428571,23295.428571
375.595376,23568.857143,23568.857143
376.047679,24247.571429,24247.571429
376.499969,24937.571429,24937.571429
376.952245,25378.285714,25378.285714
377.404508,25588.285714,25588.285714
377.856756,25683.285714,25683.285714
378.308990,25756.142857,25756.142857
378.761211,25823.142857,25823.142857
379.213418,25713.714286,25713.714286
379.665611,25655.428571,25655.428571
380.117790,25708.142857,25708.142857
380.569955,25821.571429,25821.571429
381.022106,25703.714286,25703.714286
381.474244,25880.714286,25880.714286
381.926367,26294.428571,26294.428571
382.378476,26442.285714,26442.285714
382.830572,26791.571429,26791.571429
383.282653,27156.285714,27156.285714
383.734721,27342.000000,27342.000000
384.186775,27821.428571,27821.428571
384.638814,28271.285714,28271.285714
385.090840,28562.571429,28562.571429
385.542851,29081.714286,29081.714286
385.994849,29393.571429,29393.571429
386.446833,29811.857143,29811.857143
